P,G (J/mol)
1000.0,-848778.1
1100.0,-848639.3
1200.0,-848494.9
1300.0,-848345.5
1400.0,-848191.9
1500.0,-848034.6
1600.0,-847874.0
1700.0,-847710.4
1800.0,-847544.3
1900.0,-847375.8
2000.0,-847205.1
2100.0,-847032.5
2200.0,-846858.2
2300.0,-846682.2
2400.0,-846504.7
2500.0,-846325.9
2600.0,-846145.8
2700.0,-845964.5
2800.0,-845782.1
2900.0,-845598.7
3000.0,-845414.4
3100.0,-845229.2
3200.0,-845043.1
3300.0,-844856.2
3400.0,-844668.6
3500.0,-844480.3
3600.0,-844291.4
3700.0,-844101.8
3800.0,-843911.6
3900.0,-843720.9
4000.0,-843529.6
4100.0,-843337.9
4200.0,-843145.6
4300.0,-842952.9
4400.0,-842759.8
4500.0,-842566.2
4600.0,-842372.3
4700.0,-842178.0
4800.0,-841983.3
4900.0,-841788.2
5000.0,-841592.8
5100.0,-841397.1
5200.0,-841201.1
5300.0,-841004.8
5400.0,-840808.2
5500.0,-840611.3
5600.0,-840414.2
5700.0,-840216.8
5800.0,-840019.1
5900.0,-839821.2
6000.0,-839623.1
6100.0,-839424.8
6200.0,-839226.2
6300.0,-839027.5
6400.0,-838828.5
6500.0,-838629.4
6600.0,-838430.0
6700.0,-838230.5
6800.0,-838030.8
6900.0,-837830.9
7000.0,-837630.9
7100.0,-837430.7
7200.0,-837230.3
7300.0,-837029.8
7400.0,-836829.1
7500.0,-836628.3
7600.0,-836427.4
7700.0,-836226.3
7800.0,-836025.1
7900.0,-835823.8
8000.0,-835622.3
8100.0,-835420.7
8200.0,-835219.0
8300.0,-835017.2
8400.0,-834815.2
8500.0,-834613.2
8600.0,-834411.0
8700.0,-834208.7
8800.0,-834006.4
8900.0,-833803.9
9000.0,-833601.3
9100.0,-833398.7
9200.0,-833195.9
9300.0,-832993.0
9400.0,-832790.1
9500.0,-832587.1
9600.0,-832384.0
9700.0,-832180.8
9800.0,-831977.5
9900.0,-831774.1
10000.0,-831570.7
10100.0,-831367.2
10200.0,-831163.6
10300.0,-830959.9
10400.0,-830756.2
10500.0,-830552.3
10600.0,-830348.5
10700.0,-830144.5
10800.0,-829940.5
10900.0,-829736.4
11000.0,-829532.3
11100.0,-829328.1
11200.0,-829123.8
11300.0,-828919.5
11400.0,-828715.1
11500.0,-828510.6
11600.0,-828306.1
11700.0,-828101.5
11800.0,-827896.9
11900.0,-827692.3
12000.0,-827487.5
12100.0,-827282.7
12200.0,-827077.9
12300.0,-826873.0
12400.0,-826668.1
12500.0,-826463.1
12600.0,-826258.1
12700.0,-826053.0
12800.0,-825847.9
12900.0,-825642.7
13000.0,-825437.5
13100.0,-825232.2
13200.0,-825026.9
13300.0,-824821.6
13400.0,-824616.2
13500.0,-824410.8
13600.0,-824205.3
13700.0,-823999.8
13800.0,-823794.2
13900.0,-823588.6
14000.0,-823383.0
14100.0,-823177.3
14200.0,-822971.6
14300.0,-822765.9
14400.0,-822560.1
14500.0,-822354.3
14600.0,-822148.4
14700.0,-821942.5
14800.0,-821736.6
14900.0,-821530.7
15000.0,-821324.7
15100.0,-821118.7
15200.0,-820912.6
15300.0,-820706.5
15400.0,-820500.4
15500.0,-820294.3
15600.0,-820088.1
15700.0,-819881.9
15800.0,-819675.6
15900.0,-819469.4
16000.0,-819263.1
16100.0,-819056.7
16200.0,-818850.4
16300.0,-818644.0
16400.0,-818437.6
16500.0,-818231.2
16600.0,-818024.7
16700.0,-817818.2
16800.0,-817611.7
16900.0,-817405.1
17000.0,-817198.6
17100.0,-816992.0
17200.0,-816785.4
17300.0,-816578.7
17400.0,-816372.1
17500.0,-816165.4
17600.0,-815958.6
17700.0,-815751.9
17800.0,-815545.1
17900.0,-815338.4
18000.0,-815131.6
18100.0,-814924.7
18200.0,-814717.9
18300.0,-814511.0
18400.0,-814304.1
18500.0,-814097.2
18600.0,-813890.3
18700.0,-813683.3
18800.0,-813476.3
18900.0,-813269.3
19000.0,-813062.3
19100.0,-812855.3
19200.0,-812648.2
19300.0,-812441.1
19400.0,-812234.0
19500.0,-812026.9
19600.0,-811819.8
19700.0,-811612.6
19800.0,-811405.4
19900.0,-811198.2
20000.0,-810991.0
20100.0,-810783.8
20200.0,-810576.6
20300.0,-810369.3
20400.0,-810162.0
20500.0,-809954.7
20600.0,-809747.4
20700.0,-809540.1
20800.0,-809332.7
20900.0,-809125.4
21000.0,-808918.0
21100.0,-808710.6
21200.0,-808503.2
21300.0,-808295.7
21400.0,-808088.3
21500.0,-807880.8
21600.0,-807673.4
21700.0,-807465.9
21800.0,-807258.4
21900.0,-807050.8
22000.0,-806843.3
22100.0,-806635.8
22200.0,-806428.2
22300.0,-806220.6
22400.0,-806013.0
22500.0,-805805.4
22600.0,-805597.8
22700.0,-805390.2
22800.0,-805182.5
22900.0,-804974.8
23000.0,-804767.2
23100.0,-804559.5
23200.0,-804351.8
23300.0,-804144.1
23400.0,-803936.3
23500.0,-803728.6
23600.0,-803520.8
23700.0,-803313.1
23800.0,-803105.3
23900.0,-802897.5
24000.0,-802689.7
24100.0,-802481.9
24200.0,-802274.1
24300.0,-802066.2
24400.0,-801858.4
24500.0,-801650.5
24600.0,-801442.6
24700.0,-801234.8
24800.0,-801026.9
24900.0,-800818.9
25000.0,-800611.0
